Region,State,Year,Population,Property crime rate,Violent Crime rate
South Region,South Carolina,1962,2436000,1553.2,123.6
South Region,Oklahoma,1962,2448000,1877.4,101.2
South Region,North Carolina,1962,4731000,1029.5,201.5
South Region,Mississippi,1962,2248000,659.7,92.5
South Region,Maryland,1962,3191000,1736.4,154
South Region,Louisiana,1962,3330000,1194.8,137.2
South Region,Kentucky,1962,3082000,1235.2,96.1
South Region,Georgia,1962,4100000,1394.1,151.2
South Region,Florida,1962,5459000,2345.3,192.1
South Region,Delaware,1962,469000,2165.7,72.1
South Region,Arkansas,1962,1823000,998.3,91.4
South Region,Alabama,1962,3358000,1067,157.3
Northeast Region,Vermont,1962,390000,1011.3,14.6
Northeast Region,Rhode Island,1962,865000,1861.5,46.5
Northeast Region,Pennsylvania,1962,11376000,1029.9,104.2
Northeast Region,New Jersey,1962,6245000,1617.7,126.1
Northeast Region,New Hampshire,1962,632000,971.5,28.2
Northeast Region,Massachusetts,1962,5161000,1567.5,62.1
Northeast Region,Maine,1962,999000,1163.4,27.7
Northeast Region,Connecticut,1962,2597000,1301.4,36.1
Midwest Region,Wisconsin,1962,4092000,1149.5,28.7
Midwest Region,South Dakota,1962,721000,1065.2,38.7
Midwest Region,Ohio,1962,10097000,1482.9,82.9
Midwest Region,North Dakota,1962,642000,934.4,19.9
Midwest Region,Nebraska,1962,1484000,1249.1,42.9
Midwest Region,Missouri,1962,4346000,2123.7,185.4
Midwest Region,Minnesota,1962,3475000,1498.9,48.2
Midwest Region,Michigan,1962,7991000,2553.8,226.6
Midwest Region,Kansas,1962,2219000,1501.3,66.6
Midwest Region,Iowa,1962,2777000,1117.4,20.1
Midwest Region,Indiana,1962,4715000,1713.9,88.9
Midwest Region,Illinois,1962,10146000,2162.4,383.7
West Region,Wyoming,1963,337000,1804.5,63.2
West Region,Washington,1963,3050000,2329.5,66.7
West Region,Utah,1963,983000,2331.5,60.8
West Region,Oregon,1963,1826000,2134.1,76.3
West Region,New Mexico,1963,1018000,2287.1,135.2
West Region,Nevada,1963,368000,4385.1,205.2
West Region,Montana,1963,707000,2098.3,58.6
West Region,Idaho,1963,713000,1829.5,50.8
West Region,Hawaii,1963,694000,2511.5,31
West Region,Colorado,1963,1961000,2530.5,130.3
West Region,California,1963,17590000,3545.8,241.2
West Region,Arizona,1963,1559000,3200.4,194.2
West Region,Alaska,1963,248000,1952.8,109.7
South Region,West Virginia,1963,1778000,703.2,66.6
South Region,Virginia,1963,4331000,1678.1,190.7
South Region,Texas,1963,10323000,2073.7,169.6
South Region,Tennessee,1963,3694000,1372,102.2
South Region,South Carolina,1963,2483000,1666.5,164.1
South Region,Oklahoma,1963,2487000,1849.9,112.9
South Region,North Carolina,1963,4760000,1089.9,210.9
South Region,Mississippi,1963,2290000,573.1,77.7
South Region,Maryland,1963,3289000,1981.4,160.6
South Region,Louisiana,1963,3418000,1385.1,169.6
South Region,Kentucky,1963,3095000,1345.1,92.1
South Region,Georgia,1963,4140000,1517.9,169.5
South Region,Florida,1963,5652000,2571,215
South Region,Delaware,1963,476000,2288.2,89.1
South Region,Arkansas,1963,1858000,1073.7,107.2
South Region,Alabama,1963,3347000,1150.9,182.7
Northeast Region,Vermont,1963,390000,1087.7,23.6
Northeast Region,Rhode Island,1963,885000,1948.5,56.5
Northeast Region,Pennsylvania,1963,11424000,1122.3,111
Northeast Region,New Jersey,1963,6470000,1762.3,136.8
Northeast Region,New Hampshire,1963,627000,905.3,26.2
Northeast Region,Massachusetts,1963,5218000,1659.7,66.2
Northeast Region,Maine,1963,982000,1142.2,31.2
Northeast Region,Connecticut,1963,2666000,1532.4,44.7
Midwest Region,Wisconsin,1963,4061000,1314.7,32.3
Midwest Region,South Dakota,1963,737000,1079,37.7
Midwest Region,Ohio,1963,10173000,1651.8,89.3
Midwest Region,North Dakota,1963,634000,1010.7,28.7
Midwest Region,Nebraska,1963,1460000,1390.5,40.5
Midwest Region,Missouri,1963,4328000,2366.3,199.4
Midwest Region,Minnesota,1963,3500000,1640.3,56.7
Midwest Region,Michigan,1963,8116000,2748.6,227.7
Midwest Region,Kansas,1963,2225000,1559.7,82.3
Midwest Region,Iowa,1963,2780000,1156.7,22.6
Midwest Region,Indiana,1963,4694000,1947.5,102.7
Midwest Region,Illinois,1963,10182000,2255,330.3
West Region,Wyoming,1964,343000,1828.6,83.1
West Region,Washington,1964,2984000,2636.6,92.5
West Region,Utah,1964,992000,2434.4,89.5
West Region,Oregon,1964,1871000,2428.1,107.4
West Region,New Mexico,1964,1008000,2510.2,160
West Region,Nevada,1964,408000,4015,240.9
West Region,Montana,1964,705000,2023.1,80
West Region,Idaho,1964,692000,1872.1,77.6
West Region,Hawaii,1964,701000,2708.1,82
West Region,Colorado,1964,1966000,2570.1,158.6
West Region,California,1964,18084000,3874.3,265.6
West Region,Arizona,1964,1581000,3432.3,213
West Region,Alaska,1964,250000,2016,150
South Region,West Virginia,1964,1797000,757,75.6
South Region,Virginia,1964,4378000,1945.9,241.2
South Region,Texas,1964,10397000,2317.3,190.1
South Region,Tennessee,1964,3798000,1452.9,118.6
South Region,South Carolina,1964,2555000,1886.5,165.9
South Region,Oklahoma,1964,2465000,2018,146.4
South Region,North Carolina,1964,4852000,1244.8,254.4
South Region,Mississippi,1964,2314000,768.6,178
South Region,Maryland,1964,3432000,2170,217
South Region,Louisiana,1964,3468000,1614.9,205.9
South Region,Kentucky,1964,3159000,1472.8,110.4
South Region,Georgia,1964,4294000,1644.4,192.9
South Region,Florida,1964,5705000,3068.2,289.9
South Region,Delaware,1964,491000,2403.5,110.2
South Region,Arkansas,1964,1933000,1222.6,136.6
South Region,Alabama,1964,3407000,1358.7,213.1
Northeast Region,Vermont,1964,409000,840.6,21.8
Northeast Region,Rhode Island,1964,914000,2295.3,63.2
Northeast Region,Pennsylvania,1964,11459000,1244.6,123.6
Northeast Region,New Jersey,1964,6682000,1902.7,156.5
Northeast Region,New Hampshire,1964,654000,943.9,22.8
Northeast Region,Massachusetts,1964,5338000,1902.2,85.4
Northeast Region,Maine,1964,989000,1351,51.2
Northeast Region,Connecticut,1964,2766000,1742,64.1
Midwest Region,Wisconsin,1964,4107000,1542.4,42.9
Midwest Region,South Dakota,1964,715000,1162.2,57.1
Midwest Region,Ohio,1964,10100000,1855,114.7
Midwest Region,North Dakota,1964,645000,1056.9,35.5
Midwest Region,Nebraska,1964,1480000,1549.3,52.4
Midwest Region,Missouri,1964,4409000,2686.7,216.7
Midwest Region,Minnesota,1964,3521000,1925.5,73.9
Midwest Region,Michigan,1964,8098000,2928,261.2
Midwest Region,Kansas,1964,2225000,1858.2,115.6
Midwest Region,Iowa,1964,2756000,1319.9,36.5
Midwest Region,Indiana,1964,4825000,2047.2,136
Midwest Region,Illinois,1964,10489000,2333.4,351.9
West Region,Wyoming,1965,340000,1897.1,75.6
West Region,Washington,1965,2990000,2618.3,103
West Region,Utah,1965,990000,2824.1,89.5
West Region,Oregon,1965,1899000,2637.5,120.6
West Region,New Mexico,1965,1029000,2660.7,198.9
West Region,Nevada,1965,440000,3537.5,216.6
West Region,Montana,1965,706000,2077.5,72.8
West Region,Idaho,1965,692000,1911.3,71.2
West Region,Hawaii,1965,711000,3183.3,69.1
West Region,Colorado,1965,1969000,2551.8,152.7
West Region,California,1965,18602000,4037.2,282.2
West Region,Arizona,1965,1608000,3355.5,192.3
West Region,Alaska,1965,253000,2454.5,149
South Region,West Virginia,1965,1812000,741.4,78
South Region,Virginia,1965,4457000,1971.6,227.6
South Region,Texas,1965,10551000,2384.6,199.3
South Region,Tennessee,1965,3845000,1374.3,138.7
South Region,South Carolina,1965,2542000,1681.8,177.2
South Region,Oklahoma,1965,2482000,1885.4,134.5
South Region,North Carolina,1965,4914000,1308.9,259.6
South Region,Mississippi,1965,2321000,807.1,170.1
South Region,Maryland,1965,3519000,2474.3,285.1
South Region,Louisiana,1965,3534000,1568.1,203.1
South Region,Kentucky,1965,3179000,1480.8,108.9
South Region,Georgia,1965,4357000,1562.9,201.4
South Region,Florida,1965,5805000,3020.7,299.5
South Region,Delaware,1965,505000,2297.6,111.1
South Region,Arkansas,1965,1960000,1138.4,135.8
South Region,Alabama,1965,3462000,1392.7,199.8
Northeast Region,Vermont,1965,397000,957.9,22.4
Northeast Region,Rhode Island,1965,920000,2172.1,78.5
Northeast Region,Pennsylvania,1965,11520000,1345.9,142.2
Northeast Region,New York,1965,18073000,2740.3,325.4
Northeast Region,New Jersey,1965,6774000,1892.7,153.9
Northeast Region,New Hampshire,1965,669000,1028.4,23.3
Northeast Region,Massachusetts,1965,5348000,2022.9,98.5
Northeast Region,Maine,1965,993000,1372.1,44
Northeast Region,Connecticut,1965,2832000,1764.8,69.7
Midwest Region,Wisconsin,1965,4144000,1542.8,46.1
Midwest Region,South Dakota,1965,703000,1216.6,59
Midwest Region,Ohio,1965,10245000,1821.2,124.8
Midwest Region,North Dakota,1965,652000,1032.1,34.2
Midwest Region,Nebraska,1965,1477000,1774.1,57.7
Midwest Region,Missouri,1965,4497000,2676.8,235.4
Midwest Region,Minnesota,1965,3554000,1924.9,86.5
Midwest Region,Michigan,1965,8218000,3021.3,297.6
Midwest Region,Kansas,1965,2234000,1883.2,107.1
Midwest Region,Iowa,1965,2760000,1358.9,38.7
Midwest Region,Indiana,1965,4885000,2033.4,137.1
Midwest Region,Illinois,1965,10644000,2223.2,322.7
West Region,Wyoming,1966,329000,2132.5,83
West Region,Washington,1966,2980000,2976,123.3
West Region,Utah,1966,1008000,3216.4,113.9
West Region,Oregon,1966,1955000,2860.9,126.3
West Region,New Mexico,1966,1022000,3046.3,217.3
West Region,Nevada,1966,454000,3407.9,217.4
West Region,Montana,1966,702000,2283.8,72.2
West Region,Idaho,1966,694000,1945,66.4
West Region,Hawaii,1966,718000,3419.9,83.3
West Region,Colorado,1966,1977000,2840.7,168.9
West Region,California,1966,18918000,4244.3,305.1
West Region,Arizona,1966,1618000,3933.6,202.2
West Region,Alaska,1966,272000,2635.3,150.4
South Region,West Virginia,1966,1794000,846.6,89.9
South Region,Virginia,1966,4507000,2098,230.7
South Region,Texas,1966,10752000,2645.8,226.8
South Region,Tennessee,1966,3883000,1658.6,158.3
South Region,South Carolina,1966,2586000,1756.5,226
South Region,Oklahoma,1966,2458000,2048.7,144.5
South Region,North Carolina,1966,5000000,1408.7,295.5
South Region,Mississippi,1966,2327000,746.6,150.6
South Region,Maryland,1966,3613000,2852.6,311
South Region,Louisiana,1966,3603000,1917,241.2
South Region,Kentucky,1966,3183000,1606.7,131.7
South Region,Georgia,1966,4459000,1676.5,203.3
South Region,Florida,1966,5941000,3378.5,337.8
South Region,Delaware,1966,512000,2491.8,127.9
South Region,Arkansas,1966,1955000,1219.9,162.9
South Region,Alabama,1966,3517000,1528,230.3
Northeast Region,Vermont,1966,405000,1097.3,19.8
Northeast Region,Rhode Island,1966,898000,2484.3,94.5
Northeast Region,Pennsylvania,1966,11582000,1362.2,131
Northeast Region,New York,1966,18258000,2995.4,342.6
Northeast Region,New Jersey,1966,6898000,2166.6,161.9
Northeast Region,New Hampshire,1966,681000,1100,38
Northeast Region,Massachusetts,1966,5383000,2160.1,115.2
Northeast Region,Maine,1966,983000,1377.7,49.4
Northeast Region,Connecticut,1966,2875000,1907.6,74.6
Midwest Region,Wisconsin,1966,4161000,1851.8,47.7
Midwest Region,South Dakota,1966,682000,1430.6,83.3
Midwest Region,Ohio,1966,10305000,1947.1,151.6
Midwest Region,North Dakota,1966,650000,1171.5,35.5
Midwest Region,Nebraska,1966,1456000,1861,64.6
Midwest Region,Missouri,1966,4508000,2673,247.3
Midwest Region,Minnesota,1966,3576000,2130.9,103.2
Midwest Region,Michigan,1966,8374000,3376.2,332.1
Midwest Region,Kansas,1966,2250000,1990.2,111.9
Midwest Region,Iowa,1966,2747000,1599.6,44.2
Midwest Region,Indiana,1966,4918000,2189.8,146.3
Midwest Region,Illinois,1966,10722000,2394.4,364.8
West Region,Wyoming,1967,315000,2318.7,93.3
West Region,Washington,1967,3087000,3582.7,154
West Region,Utah,1967,1024000,3127.8,116.6
West Region,Oregon,1967,1999000,3307.7,157.4
West Region,New Mexico,1967,1003000,3038.6,231.8
West Region,Nevada,1967,444000,4056.3,247.7
West Region,Montana,1967,701000,2373.2,83.9
West Region,Idaho,1967,699000,1837.3,68.4
West Region,Hawaii,1967,739000,3639.4,80
West Region,Colorado,1967,1975000,3117.2,191.8
West Region,California,1967,19153000,4703,352.1
West Region,Arizona,1967,1634000,4599.8,238.2
West Region,Alaska,1967,272000,2723.9,160.7
South Region,West Virginia,1967,1798000,927.8,97
South Region,Virginia,1967,4536000,2391,227.7
South Region,Texas,1967,10869000,2883.6,246.1
South Region,Tennessee,1967,3892000,1899.2,208.4
South Region,South Carolina,1967,2599000,1859.6,231.4
South Region,Oklahoma,1967,2495000,2166.1,148.4
South Region,North Carolina,1967,5029000,1574.2,318.1
South Region,Mississippi,1967,2348000,786.4,113.8
South Region,Maryland,1967,3682000,3436.2,474.1
South Region,Louisiana,1967,3662000,2113.8,275
South Region,Kentucky,1967,3189000,1715.6,140.6
South Region,Georgia,1967,4509000,1764.9,189.3
South Region,Florida,1967,5995000,3713.3,390.3
South Region,Delaware,1967,524000,2710.7,180.9
South Region,Arkansas,1967,1968000,1408.9,219.5
South Region,Alabama,1967,3540000,1612.4,238.6
Northeast Region,Vermont,1967,417000,1201.2,20.6
Northeast Region,Rhode Island,1967,900000,3007.9,128.4
Northeast Region,Pennsylvania,1967,11629000,1527.9,138.6
Northeast Region,New York,1967,18336000,3367.2,409.7
Northeast Region,New Jersey,1967,7003000,2549.1,188.5
Northeast Region,New Hampshire,1967,686000,1086.7,31.8
Northeast Region,Massachusetts,1967,5421000,2354.5,127.6
Northeast Region,Maine,1967,973000,1559.1,63.8
Northeast Region,Connecticut,1967,2925000,2185.4,95.9
Midwest Region,Wisconsin,1967,4189000,2161.8,70.4
Midwest Region,South Dakota,1967,674000,1469.7,86.9
Midwest Region,Ohio,1967,10458000,2333.4,185
Midwest Region,North Dakota,1967,639000,1370.4,29
Midwest Region,Nebraska,1967,1435000,1979.6,113.2
Midwest Region,Missouri,1967,4603000,2846.8,276.9
Midwest Region,Minnesota,1967,3582000,2461.2,132
Midwest Region,Michigan,1967,8584000,3673.1,389
Midwest Region,Kansas,1967,2275000,2331.7,142.8
Midwest Region,Iowa,1967,2753000,1822.6,58.4
Midwest Region,Indiana,1967,5000000,2429.6,162.9
Midwest Region,Illinois,1967,10893000,2516.2,394.3
West Region,Wyoming,1968,315000,2461.6,88.3
West Region,Washington,1968,3276000,3752.2,212.8
West Region,Utah,1968,1034000,3465.8,116.2
West Region,Oregon,1968,2008000,3537,197
West Region,New Mexico,1968,1015000,3546.5,250.5
West Region,Nevada,1968,453000,4183.7,278.4
West Region,Montana,1968,693000,2454,88
West Region,Idaho,1968,705000,2047.9,73.5
West Region,Hawaii,1968,778000,4353.2,85.1
West Region,Colorado,1968,2048000,3599.6,263
West Region,California,1968,19221000,5298.2,422.9
West Region,Arizona,1968,1670000,4610.8,263.6
West Region,Alaska,1968,277000,3145.5,175.5
South Region,West Virginia,1968,1805000,1056.5,108.5
South Region,Virginia,1968,4597000,2608.7,278.9
South Region,Texas,1968,10972000,3208.1,270.2
South Region,Tennessee,1968,3976000,1954.2,220.5
South Region,South Carolina,1968,2692000,1958.2,217.4
South Region,Oklahoma,1968,2518000,2443.7,177.6
South Region,North Carolina,1968,5135000,1655.9,351
South Region,Mississippi,1968,2342000,942.2,145
South Region,Maryland,1968,3757000,3956.8,623
South Region,Louisiana,1968,3732000,2192.7,314.6
South Region,Kentucky,1968,3229000,1826.4,164.7
South Region,Georgia,1968,4588000,1940.3,215.8
South Region,Florida,1968,6160000,4045.4,453.1
South Region,Delaware,1968,534000,2924.3,241.2
South Region,Arkansas,1968,2012000,1741.8,216.7
South Region,Alabama,1968,3566000,1766.6,232.4
Northeast Region,Vermont,1968,422000,1175.4,37.2
Northeast Region,Rhode Island,1968,913000,3748.2,137.3
Northeast Region,Pennsylvania,1968,11712000,1760.2,176.8
Northeast Region,New York,1968,18113000,4035.4,543.9
Northeast Region,New Jersey,1968,7078000,3018.2,236.1
Northeast Region,New Hampshire,1968,702000,1258.1,39.7
Northeast Region,Massachusetts,1968,5437000,2903.9,164
Northeast Region,Maine,1968,979000,1617.5,64.7
Northeast Region,Connecticut,1968,2959000,2761.1,129.3
Midwest Region,Wisconsin,1968,4213000,2305.6,80.7
Midwest Region,South Dakota,1968,657000,1667.4,85.7
Midwest Region,Ohio,1968,10591000,2580.5,200.4
Midwest Region,North Dakota,1968,625000,1377.4,27.7
Midwest Region,Nebraska,1968,1437000,2261.7,146.3
Midwest Region,Missouri,1968,4627000,3255.3,328.9
Midwest Region,Minnesota,1968,3646000,2823.1,140.2
Midwest Region,Michigan,1968,8740000,3743.9,426.7
Midwest Region,Kansas,1968,2303000,2573.3,150.4
Midwest Region,Iowa,1968,2748000,2075.2,68.5
Midwest Region,Indiana,1968,5067000,2718.4,201.9
Midwest Region,Illinois,1968,10974000,2829.8,408
West Region,Wyoming,1969,320000,2612.2,89.4
West Region,Washington,1969,3402000,4393.5,242.3
West Region,Utah,1969,1045000,3888.2,139.7
West Region,Oregon,1969,2032000,3987,222.8
West Region,New Mexico,1969,994000,4222.6,289.8
West Region,Nevada,1969,457000,4786.4,359.3
West Region,Montana,1969,694000,2591.4,98.3
West Region,Idaho,1969,718000,2616,112.3
West Region,Hawaii,1969,794000,4446.7,86.1
West Region,Colorado,1969,2100000,4199.4,298.8
West Region,California,1969,19443000,5637.4,462.3
West Region,Arizona,1969,1693000,4885.4,339.2
West Region,Alaska,1969,282000,3658.9,221.3
South Region,West Virginia,1969,1819000,1007.7,97.1
South Region,Virginia,1969,4669000,2741.8,266.3
South Region,Texas,1969,11187000,3639.4,328.1
South Region,Tennessee,1969,3985000,1972.4,231.7
South Region,South Carolina,1969,2692000,2311.6,239.6
South Region,Oklahoma,1969,2568000,2431.6,185.9
South Region,North Carolina,1969,5205000,1903.6,348.1
South Region,Mississippi,1969,2363000,952.6,141.9
South Region,Maryland,1969,3765000,3928,645.3
South Region,Louisiana,1969,3745000,2391.8,360.3
South Region,Kentucky,1969,3232000,1987.1,177.8
South Region,Georgia,1969,4641000,2157.4,242.1
South Region,Florida,1969,6354000,4279.7,462.9
South Region,Delaware,1969,540000,3207.6,294.1
South Region,Arkansas,1969,1995000,1968.5,220.1
South Region,Alabama,1969,3531000,1876.2,250.4
Northeast Region,Vermont,1969,439000,1518,53.3
Northeast Region,Rhode Island,1969,911000,3953.8,175
Northeast Region,Pennsylvania,1969,11803000,1823.9,193.9
Northeast Region,New York,1969,18321000,3991.8,577.9
Northeast Region,New Jersey,1969,7148000,2989.7,241
Northeast Region,New Hampshire,1969,717000,1465.3,45.3
Northeast Region,Massachusetts,1969,5467000,3290.7,187.9
Northeast Region,Maine,1969,978000,1866.3,74.9
Northeast Region,Connecticut,1969,3000000,3078.3,147.2
Midwest Region,Wisconsin,1969,4233000,2407.5,80.6
Midwest Region,South Dakota,1969,659000,1754.5,77.4
Midwest Region,Ohio,1969,10740000,2886.1,248.1
Midwest Region,North Dakota,1969,615000,1450.1,35.8
Midwest Region,Nebraska,1969,1449000,2292.4,158.9
Midwest Region,Missouri,1969,4651000,3786.6,392.6
Midwest Region,Minnesota,1969,3700000,2934.7,142
Midwest Region,Michigan,1969,8766000,4301.7,502.5
Midwest Region,Kansas,1969,2321000,2971.2,166.9
Midwest Region,Iowa,1969,2781000,2183.5,69
Midwest Region,Indiana,1969,5118000,2891.2,198.1
Midwest Region,Illinois,1969,11047000,3020,448.5
West Region,Wyoming,1970,332416,2859.1,113.1
West Region,Washington,1970,3409169,4659.7,221.3
West Region,Utah,1970,1059273,4063.9,137.7
West Region,Oregon,1970,2091385,4431.3,256.9
West Region,New Mexico,1970,1016000,4131.6,304.4
West Region,Nevada,1970,488738,5365.2,398.6
West Region,Montana,1970,694409,2771.4,111.5
West Region,Idaho,1970,713008,3031.5,123.3
West Region,Hawaii,1970,769913,5143.3,121.8
West Region,Colorado,1970,2207259,4961.4,356.7
West Region,California,1970,19953134,5864.3,474.8
West Region,Arizona,1970,1772482,5543.9,370.3
West Region,Alaska,1970,302173,3523.8,278
South Region,West Virginia,1970,1744237,1254.8,123.7
South Region,Virginia,1970,4648494,3363.4,302
South Region,Texas,1970,11196000,3808.1,365.3
South Region,Tennessee,1970,3924164,2120.7,274.9
South Region,South Carolina,1970,2590516,2772,286.1
South Region,Oklahoma,1970,2559253,2774.4,202.9
South Region,North Carolina,1970,5082059,2272.5,370.2
South Region,Mississippi,1970,2216912,1123.1,179.3
South Region,Maryland,1970,3922399,4016.1,624.9
South Region,Louisiana,1970,3643180,2902.5,413.5
South Region,Kentucky,1970,3219311,2261.8,222.3
South Region,Georgia,1970,4589575,2577.1,304.5
South Region,Florida,1970,6789443,4819,498.2
South Region,Delaware,1970,548104,3935.6,327.5
South Region,Arkansas,1970,1923295,2198.8,222.3
South Region,Alabama,1970,3444165,2183.8,295.7
Northeast Region,Vermont,1970,444732,1823.1,74
Northeast Region,Rhode Island,1970,949723,4064.1,204.7
Northeast Region,Pennsylvania,1970,11793909,1965.6,220.2
Northeast Region,New York,1970,18190740,4286.3,685
Northeast Region,New Jersey,1970,7168164,3288.2,287.1
Northeast Region,New Hampshire,1970,737681,1666.2,56
Northeast Region,Massachusetts,1970,5689170,3543.4,202.9
Northeast Region,Maine,1970,993663,1970.7,89.3
Northeast Region,Connecticut,1970,3032217,3319,170.4
Midwest Region,Wisconsin,1970,4417933,2616.2,85.8
Midwest Region,South Dakota,1970,666257,1961.1,92.5
Midwest Region,Ohio,1970,10652017,3290.1,284.3
Midwest Region,North Dakota,1970,617761,1672.3,34.2
Midwest Region,Nebraska,1970,1483791,2368.9,184.1
Midwest Region,Missouri,1970,4677399,3748.8,405.9
